  Schema   | Name |        Left arg type        |       Right arg type        |         Result type         |         Function          |                           Description
 pg_catalog | -    | aclitem[]                   | aclitem                     | aclitem[]                   | aclremove                 | remove ACL item
 pg_catalog | -    | anyrange                    | anyrange                    | anyrange                    | range_minus               | range difference
 pg_catalog | -    | bigint                      | bigint                      | bigint                      | int8mi                    | subtract
 pg_catalog | -    | bigint                      | integer                     | bigint                      | int84mi                   | subtract
 pg_catalog | -    | bigint                      | smallint                    | bigint                      | int82mi                   | subtract
 pg_catalog | -    | box                         | point                       | box                         | box_sub                   | subtract point from box (translate)
 pg_catalog | -    | circle                      | point                       | circle                      | circle_sub_pt             | subtract
 pg_catalog | -    | date                        | date                        | integer                     | date_mi                   | subtract
 pg_catalog | -    | date                        | integer                     | date                        | date_mii                  | subtract
 pg_catalog | -    | date                        | interval                    | timestamp without time zone | date_mi_interval          | subtract
 pg_catalog | -    | double precision            | double precision            | double precision            | float8mi                  | subtract
 pg_catalog | -    | double precision            | real                        | double precision            | float84mi                 | subtract
 pg_catalog | -    | inet                        | bigint                      | inet                        | inetmi_int8               | subtract
 pg_catalog | -    | inet                        | inet                        | bigint                      | inetmi                    | subtract
 pg_catalog | -    | integer                     | bigint                      | bigint                      | int48mi                   | subtract
 pg_catalog | -    | integer                     | integer                     | integer                     | int4mi                    | subtract
 pg_catalog | -    | integer                     | smallint                    | integer                     | int42mi                   | subtract
 pg_catalog | -    | interval                    | interval                    | interval                    | interval_mi               | subtract
 pg_catalog | -    | jsonb                       | integer                     | jsonb                       | pg_catalog.jsonb_delete   | delete array element
 pg_catalog | -    | jsonb                       | text                        | jsonb                       | pg_catalog.jsonb_delete   | delete object field
 pg_catalog | -    | jsonb                       | text[]                      | jsonb                       | pg_catalog.jsonb_delete   | delete object fields
 pg_catalog | -    | money                       | money                       | money                       | cash_mi                   | subtract
 pg_catalog | -    | numeric                     | numeric                     | numeric                     | numeric_sub               | subtract
 pg_catalog | -    | path                        | point                       | path                        | path_sub_pt               | subtract (translate path)
 pg_catalog | -    | pg_lsn                      | pg_lsn                      | numeric                     | pg_lsn_mi                 | minus
 pg_catalog | -    | point                       | point                       | point                       | point_sub                 | subtract points (translate)
 pg_catalog | -    | real                        | double precision            | double precision            | float48mi                 | subtract
 pg_catalog | -    | real                        | real                        | real                        | float4mi                  | subtract
 pg_catalog | -    | smallint                    | bigint                      | bigint                      | int28mi                   | subtract
 pg_catalog | -    | smallint                    | integer                     | integer                     | int24mi                   | subtract
 pg_catalog | -    | smallint                    | smallint                    | smallint                    | int2mi                    | subtract
 pg_catalog | -    | timestamp without time zone | interval                    | timestamp without time zone | timestamp_mi_interval     | subtract
 pg_catalog | -    | timestamp without time zone | timestamp without time zone | interval                    | timestamp_mi              | subtract
 pg_catalog | -    | timestamp with time zone    | interval                    | timestamp with time zone    | timestamptz_mi_interval   | subtract
 pg_catalog | -    | timestamp with time zone    | timestamp with time zone    | interval                    | timestamptz_mi            | subtract
 pg_catalog | -    | time without time zone      | interval                    | time without time zone      | time_mi_interval          | subtract
 pg_catalog | -    | time without time zone      | time without time zone      | interval                    | time_mi_time              | subtract
 pg_catalog | -    | time with time zone         | interval                    | time with time zone         | timetz_mi_interval        | subtract
 pg_catalog | -    |                             | bigint                      | bigint                      | int8um                    | negate
 pg_catalog | -    |                             | double precision            | double precision            | float8um                  | negate
 pg_catalog | -    |                             | integer                     | integer                     | int4um                    | negate
 pg_catalog | -    |                             | interval                    | interval                    | interval_um               | negate
 pg_catalog | -    |                             | numeric                     | numeric                     | numeric_uminus            | negate
 pg_catalog | -    |                             | real                        | real                        | float4um                  | negate
 pg_catalog | -    |                             | smallint                    | smallint                    | int2um                    | negate
 pg_catalog | ->   | json                        | integer                     | json                        | json_array_element        | get json array element
 pg_catalog | ->   | json                        | text                        | json                        | json_object_field         | get json object field
 pg_catalog | ->   | jsonb                       | integer                     | jsonb                       | jsonb_array_element       | get jsonb array element
 pg_catalog | ->   | jsonb                       | text                        | jsonb                       | jsonb_object_field        | get jsonb object field
 pg_catalog | ->>  | json                        | integer                     | text                        | json_array_element_text   | get json array element as text
 pg_catalog | ->>  | json                        | text                        | text                        | json_object_field_text    | get json object field as text
 pg_catalog | ->>  | jsonb                       | integer                     | text                        | jsonb_array_element_text  | get jsonb array element as text
 pg_catalog | ->>  | jsonb                       | text                        | text                        | jsonb_object_field_text   | get jsonb object field as text
 pg_catalog | -|-  | anyrange                    | anyrange                    | boolean                     | range_adjacent            | is adjacent to
 pg_catalog | /    | bigint                      | bigint                      | bigint                      | int8div                   | divide
 pg_catalog | /    | bigint                      | integer                     | bigint                      | int84div                  | divide
 pg_catalog | /    | bigint                      | smallint                    | bigint                      | int82div                  | divide
 pg_catalog | /    | box                         | point                       | box                         | box_div                   | divide box by point (scale)
 pg_catalog | /    | circle                      | point                       | circle                      | circle_div_pt             | divide
 pg_catalog | /    | double precision            | double precision            | double precision            | float8div                 | divide
 pg_catalog | /    | double precision            | real                        | double precision            | float84div                | divide
 pg_catalog | /    | integer                     | bigint                      | bigint                      | int48div                  | divide
 pg_catalog | /    | integer                     | integer                     | integer                     | int4div                   | divide
 pg_catalog | /    | integer                     | smallint                    | integer                     | int42div                  | divide
 pg_catalog | /    | interval                    | double precision            | interval                    | interval_div              | divide
 pg_catalog | /    | money                       | bigint                      | money                       | cash_div_int8             | divide
 pg_catalog | /    | money                       | double precision            | money                       | cash_div_flt8             | divide
 pg_catalog | /    | money                       | integer                     | money                       | cash_div_int4             | divide
 pg_catalog | /    | money                       | money                       | double precision            | cash_div_cash             | divide
pg_catalog | /    | money                       | real                        | money                       | cash_div_flt4             | divide
 pg_catalog | /    | money                       | smallint                    | money                       | cash_div_int2             | divide
 pg_catalog | /    | numeric                     | numeric                     | numeric                     | numeric_div               | divide
 pg_catalog | /    | path                        | point                       | path                        | path_div_pt               | divide (rotate/scale path)
 pg_catalog | /    | point                       | point                       | point                       | point_div                 | divide points (scale/rotate)
 pg_catalog | /    | real                        | double precision            | double precision            | float48div                | divide
 pg_catalog | /    | real                        | real                        | real                        | float4div                 | divide
 pg_catalog | /    | smallint                    | bigint                      | bigint                      | int28div                  | divide
 pg_catalog | /    | smallint                    | integer                     | integer                     | int24div                  | divide
 pg_catalog | /    | smallint                    | smallint                    | smallint                    | int2div                   | divide
 pg_catalog | <    | abstime                     | abstime                     | boolean                     | abstimelt                 | less than
 pg_catalog | <    | anyarray                    | anyarray                    | boolean                     | array_lt                  | less than
 pg_catalog | <    | anyenum                     | anyenum                     | boolean                     | enum_lt                   | less than
 pg_catalog | <    | anyrange                    | anyrange                    | boolean                     | range_lt                  | less than
 pg_catalog | <    | bigint                      | bigint                      | boolean                     | int8lt                    | less than
 pg_catalog | <    | bigint                      | integer                     | boolean                     | int84lt                   | less than
 pg_catalog | <    | bigint                      | smallint                    | boolean                     | int82lt                   | less than
 pg_catalog | <    | bit                         | bit                         | boolean                     | bitlt                     | less than
 pg_catalog | <    | bit varying                 | bit varying                 | boolean                     | varbitlt                  | less than
 pg_catalog | <    | boolean                     | boolean                     | boolean                     | boollt                    | less than
 pg_catalog | <    | box                         | box                         | boolean                     | box_lt                    | less than by area
 pg_catalog | <    | bytea                       | bytea                       | boolean                     | bytealt                   | less than
 pg_catalog | <    | "char"                      | "char"                      | boolean                     | charlt                    | less than
 pg_catalog | <    | character                   | character                   | boolean                     | bpcharlt                  | less than
 pg_catalog | <    | circle                      | circle                      | boolean                     | circle_lt                 | less than by area
 pg_catalog | <    | date                        | date                        | boolean                     | date_lt                   | less than
 pg_catalog | <    | date                        | timestamp without time zone | boolean                     | date_lt_timestamp         | less than
 pg_catalog | <    | date                        | timestamp with time zone    | boolean                     | date_lt_timestamptz       | less than
 pg_catalog | <    | double precision            | double precision            | boolean                     | float8lt                  | less than
 pg_catalog | <    | double precision            | real                        | boolean                     | float84lt                 | less than
 pg_catalog | <    | inet                        | inet                        | boolean                     | network_lt                | less than
 pg_catalog | <    | integer                     | bigint                      | boolean                     | int48lt                   | less than
 pg_catalog | <    | integer                     | integer                     | boolean                     | int4lt                    | less than
